iter	RMSE
0	263.4323476
1	232.1838294
2	205.9452306
3	191.2098401
4	179.9472696
5	171.5870228
6	163.3478792
7	156.4325791
8	150.5278128
9	145.1978382
10	140.0605225
11	135.4394973
12	131.2837778
13	126.6946389
14	122.4459788
15	118.9120141
16	115.5036916
17	111.9624767
18	109.1585467
19	105.3569759
20	102.6389857
21	100.1574622
22	97.52288698
23	95.23699197
24	93.06863445
25	90.50933472
26	88.93843945
27	87.44824089
28	86.374033
29	84.52117853
30	83.39126617
31	82.38598892
32	81.2083578
33	79.23072002
34	78.08191627
35	77.04339821
36	75.71557208
37	74.88704718
38	73.20673598
39	71.92043288
40	70.50668236
41	69.73108934
42	68.91822496
43	68.14219208
44	67.43022704
45	66.44222838
46	65.71915989
47	64.87078332
48	64.3057831
49	63.67127026
50	62.38131106
51	61.65677278
52	61.03804949
53	60.53982132
54	59.70717134
55	58.99527647
56	58.09051271
57	57.62979141
58	57.06011956
59	56.5891281
60	55.46980232
61	55.04390796
62	54.4933829
63	53.73678317
64	53.27810226
65	52.69242855
66	52.27678623
67	51.88691202
68	51.55354801
69	50.864445
70	50.46588871
71	50.1592942
72	49.88119328
73	49.52630782
74	48.85873628
75	48.50745966
76	48.13705624
77	47.64540406
78	47.35068406
79	46.9972108
80	46.64666902
81	45.93074047
82	45.58553881
83	45.20820667
84	44.93313746
85	44.55467612
86	44.21213238
87	43.86120439
88	43.62615718
89	43.36849583
90	42.94634783
91	42.51239491
92	42.30058645
93	42.07049086
94	41.73840332
95	41.36056184
96	41.17403421
97	40.99514195
98	40.79155641
99	40.41007865
