iter	Passed	Remaining
0	1	118
1	2	119
2	3	111
3	4	105
4	5	102
5	6	100
6	7	97
7	8	94
8	9	91
9	9	89
10	10	88
11	11	87
12	12	86
13	13	85
14	15	85
15	16	84
16	17	83
17	18	82
18	19	81
19	20	80
20	21	79
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	27	73
27	28	72
28	29	72
29	30	71
30	31	71
31	33	70
32	34	69
33	35	68
34	36	68
35	37	67
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	44	61
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	61	47
56	62	47
57	63	46
58	65	45
59	66	44
60	67	43
61	68	41
62	69	40
63	70	39
64	71	38
65	73	37
66	74	36
67	75	35
68	77	34
69	78	33
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	87	25
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	95	18
84	96	17
85	97	15
86	98	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	107	6
94	108	5
95	109	4
96	110	3
97	112	2
98	113	1
99	114	0
