,channelId,channelTitle,pub_date,videoCategoryId,videoCategoryLabel,duration,durationSec,definition,caption,viewCount,likeCount,dislikeCount,commentCount
0,UCU1_l0ZJyTK_7HZZ3Ruw8Dg,MAPS,01/10/14,29,Nonprofits & Activism,PT1H19M40S,4780,hd,FALSE,1512,8,0,1
1,UCU1_l0ZJyTK_7HZZ3Ruw8Dg,MAPS,01/10/14,29,Nonprofits & Activism,PT1H19M40S,4780,hd,FALSE,1512,8,0,1
2,UCihqrkaOgVMfLNo2W1hSliA,Podcast Bunk,11/23/16,22,People & Blogs,PT50M40S,3040,sd,FALSE,67,0,1,3
3,UCgbWWPn3VYYzxjffZbfj9GQ,Alan Springwind,05/01/18,24,Entertainment,PT32M21S,1941,hd,FALSE,4,0,0,0
4,UCU1_l0ZJyTK_7HZZ3Ruw8Dg,MAPS,01/10/14,29,Nonprofits & Activism,PT1H19M40S,4780,hd,FALSE,1512,8,0,1
5,UCxSbJSgLqIO8r7TONBN5dvw,Oracle Frequency Podcast,03/14/21,24,Entertainment,PT25M7S,1507,hd,FALSE,12092,136,2,41
6,UCSqJniChpE6ngCRzUvNNgug,Fabian-ji Chononita,08/20/22,22,People & Blogs,PT16M15S,975,hd,FALSE,793,28,0,3
7,UCmrLCXSDScliR7q8AxxjvXg,Black Pigeon Speaks,01/26/24,25,News & Politics,PT13M40S,820,hd,FALSE,108974,4329,990,3672
8,UC2nzGL6I-SRc_gkBLWLDVWg,ellie pipkins,07/03/25,22,People & Blogs,PT13M32S,812,hd,FALSE,2,0,0,0
9,UCn8V3KNSgDr1Dai77_y8JrQ,PsychedSubstance,,28,Science & Technology,PT13M25S,805,hd,FALSE,526243,7046,255,1706
10,UCXSF1F_RFRUVNXX4QmB6vmw,Your Mate Tom,05/16/28,27,Education,PT12M32S,752,hd,FALSE,8869,298,1,80
11,UCP-AYTzarlgRNuvDMpoN9IA,Sensorinstruments,10/22/29,22,People & Blogs,PT10M41S,641,hd,FALSE,87,1,0,
12,UCXSF1F_RFRUVNXX4QmB6vmw,Your Mate Tom,05/16/28,27,Education,PT12M32S,752,hd,FALSE,8869,298,1,80
13,UCpy50X_0LZU3Ju2GTRZ6l7w,Vanrooy Machinery,,22,People & Blogs,PT10M17S,617,sd,FALSE,4710,2,0,1
14,UCWdEQ_cOzB1S3MEGHIBnxSA,Nate God,09/04/32,24,Entertainment,PT10M14S,614,sd,FALSE,3930,63,8,59
15,UCpy50X_0LZU3Ju2GTRZ6l7w,Vanrooy Machinery,02/10/34,22,People & Blogs,PT9M56S,596,sd,FALSE,2250,3,0,0
16,UCWOAtXUd8F-MCx2-AfBE_8A,IITA CO,07/19/35,28,Science & Technology,PT9M41S,581,sd,FALSE,193,1,2,0
17,UCmSvUqDxMhu2CN5PqkTK1Eg,CABIvideo,,28,Science & Technology,PT9M41S,581,sd,FALSE,14,0,0,0
18,UCmSvUqDxMhu2CN5PqkTK1Eg,CABIvideo,,28,Science & Technology,PT9M41S,581,sd,FALSE,30,0,0,0
19,UCfvKwp-BExobsDcuDfCx1hA,ICRISAT Co,,29,Nonprofits & Activism,PT9M41S,581,sd,FALSE,49,0,0,0
20,UC7wOvqC3gyy45Eevq-ZSokw,jayurbzz,04/14/41,29,Nonprofits & Activism,PT9M29S,569,hd,FALSE,923,16,1,11
21,UCLtigEiKqmjGC8VxktMl7TQ,LamentoAbsurdo,09/20/42,22,People & Blogs,PT9M7S,547,hd,FALSE,609,11,0,18
